,Unnamed: 0,question_and_options,answer,difficulty
10,10,"<div><p>With reference to ‘National Skills Qualification Framework (NSQF)’, which of the statements given below is/are correct?</p><p>1. Under NSQF, a learner can acquire the certification for competency only through formal learning. <br>2. An outcome expected from the implementation of NSQF is the mobility between vocational and general education. <br>Select the correct answer using the code give below:</p><p>(a) <font color='#000000' face='Calibri'><span style='font-size: 16px; white-space: pre-wrap;'>1 only</span></font></p><p>(b) <font color='#000000' face='Calibri'><span style='font-size: 16px; white-space: pre-wrap;'>2 only</span></font></p><p>(c) <font color='#000000' face='Calibri'><span style='font-size: 16px; white-space: pre-wrap;'>Both 1 and 2</span></font></p><p>(d) Neither 1 nor 2</p></div>",b,Medium
11,11,"<div><p>In the context of Indian history, the principle of ‘Dyarchy (diarchy)’ refers to</p><p>(a) Division of the central legislature into two houses.</p><p>(b) Introductions of double government i.e., Central and Statement governments.</p><p>(c) Having two sets of rulers; one in London and another in Delhi.</p><p>(d) Division of the subjects delegated to the provinces into two categories.</p></div>",d,Medium
12,12,"<div><p>Consider the following in respect of ‘National Career Services’:</p><p>1. National Career Service is an initiative of the Department of Personnel and Training, Government of India. 2. National Career Service has been launched in a Mission Mode to improve the employment opportunities to uneducated youth of the country. Which of the above statements is/are correct?</p><p>(a) <span style=""""><span>1 only</span></span></p><p>(b) <span style=""'color:"" data-mce-style=""'color:"">2 only</span></p><p>(c) <span style=""""><span>Both 1 and 2</span></span></p><p>(d) <span style=""""><span>Neither 1 nor 2</span></span></p></div>",d,Medium
13,13,"<div><p>Which of the following statements best describes the term ‘Scheme for Sustainable Structuring of Stressed Assets (S4A)’, recently seen in the news?</p><p>(a) It is a procedure for considering ecological costs of developmental schemes formulated by the Government.</p><p>(b) It is a scheme of RBI for reworking the financial structure of big corporate entities facing genuine difficulties.</p><p>(c) It is a disinvestment plan of the Government regarding Central Public Sector Undertakings.</p><p>(d) It is an important provision in ‘The Insolvency and Bankruptcy Code’ recently implemented by the Government.</p></div>",b,Easy
14,14,"<div><p>Consider the following statements:</p><p>1. Climate and Clean Air Coalition (CCAC) to Reduce Short Lived Climate Pollutants is a unique initiative of G2O group of countries. <br>2. The CCAC focuses on methane, black carbon and hydrofluorocarbons. <br>Which of the statements given above is/are correct?</p><p>(a) <font color='#000000' face='Calibri'><span style='font-size: 16px; white-space: pre-wrap;'>1 only</span></font></p><p>(b) <font color='#000000' face='Calibri'><span style='font-size: 16px; white-space: pre-wrap;'>2 only</span></font></p><p>(c) Both 1 and 2<br></p><p>(d) Neither 1 nor 2<br></p></div>",b,Difficult
15,15,"<div><p style=""user-select: auto;"" data-mce-style=""user-select: auto;"">With reference to the ‘Indian Ocean Dipole (IOD)’ sometimes mentioned in the news while forecasting the Indian monsoon, which of the following statements is/are correct?</p><p style=""user-select: auto;"" data-mce-style=""user-select: auto;"">1. IOD phenomenon is characterized by a difference in sea surface temperature between the tropical Western Indian Ocean and the tropical Eastern Pacific Ocean.</p><p style=""user-select: auto;"" data-mce-style=""user-select: auto;"">2. An IOD phenomenon can influence El Nino’s impact on the monsoon. </p><p style=""user-select: auto;"" data-mce-style=""user-select: auto;"">Select the correct answer using the code given below.</p><p>(a) <span style=""""><span>1 only</span></span></p><p>(b) <span style=""""><span>2 only</span></span></p><p>(c) <span style=""""><span>Both 1 and 2</span></span></p><p>(d) <span style=""""><span>Neither 1 nor 2</span></span></p></div>",b,Difficult
16,16,"<div><p><span style=""'color:"" data-mce-style=""'color:"">If you want to see gharials in their natural habitat, which one of the following is the best place to visit?</span></p><p>(a) Bhitarkanika Mangroves</p><p>(b) Chambal River</p><p>(c) Pulicat Lake</p><p>(d) Deepor Beel</p></div>",b,Easy
17,17,"<div><p>Consider the following in respect of Indian Ocean Naval Symposium (IONS):</p><p>1. Inaugural IONS was held in India in 2015 under the chairmanship of the Indian Navy. 2. IONS is a voluntary initiative that seeks to increase maritime co-operation among navies of the littoral states of the Indian Ocean Region. Which of the above statements is/are correct?</p><p>(a) <span style=""""><span>1 only</span></span></p><p>(b) <span style=""""><span>2 only</span></span></p><p>(c) <span style=""""><span>Both 1 and 2</span></span></p><p>(d) <span style=""""><span>Neither 1 nor 2</span></span></p></div>",b,Difficult
18,18,"<div><p>The painting of Bodhisattva Padmapani is one of the most famous and oft-illustrated paintings at</p><p>(a) Ajanta</p><p>(b) Badami</p><p>(c) Bagh</p><p>(d) <span style=""""><span>Ellora</span></span></p></div>",a,Easy
19,19,"<div><p><span style=""'color:"" data-mce-style=""'color:"">Consider the following pairs: </span></p><p>&nbsp;</p><table class=""'mce-item-table'"" data-mce-selected=""'1'"" border=""1""><tbody><tr><td width=""'26'""><p>&nbsp;</p></div>",a,Difficult
20,20,"<div><p>Which of the following statements can help in water conservation in agriculture?</p><p>1. Reduced or zero tillage of the land 2. Applying gypsum before irrigating the field 3. Allowing crop residue to remain in the field.Select the correct answer using the code given below:</p><p>(a) <span style=""""><span>1 and 2 only</span></span></p><p>(b) <span style=""""><span>3 only</span></span></p><p>(c) <span style=""""><span>1 and 3 only</span></span></p><p>(d) <span style=""""><span>1, 2 and 3</span></span></p></div>",c,Medium
21,21,"<div><p>Consider the following statements: The nation-wide ‘Soil Health Card Scheme’ aims at</p><p>1. expanding the cultivable area under irrigation. 2. enabling the banks to assess the quantum of loans to be granted to farmers on the basis of soil quality. 3. checking the overuse of fertilizers in farmlands. Which of the above statements is/are correct?</p><p>(a) <span style=""""><span>1 and 2 only</span></span></p><p>(b) <span style=""""><span>3 only</span></span></p><p>(c) <span style=""""><span>2 and 3 only</span></span></p><p>(d) <span style=""""><span>1, 2 and 3</span></span></p></div>",b,Easy
22,22,"<div><p>Consider the following pairs:</p><table class=""'mce-item-table'"" border=""1"" data-mce-selected=""1""><tbody><tr><td width=""'26'""><p>&nbsp;</p></div>",d,Difficult
23,23,"<div><p>Organic Light Emitting Diodes (OLEDs) are used to create digital display in many devices. What are the advantages of OLED displays over Liquid Crystal displays?</p><ol><li>OLED displays can be fabricated on flexible plastic substrates.</li><li>Roll-up displays embedded in clothing can be made using OLEDs.</li><li>Transparent displays are possible using OLEDs.</li></ol><p>Select the correct answer using the code given below:</p><p>(a) <span style=""'color:"" data-mce-style=""'color:"">1 and 3 only</span></p><p>(b) <span style=""'color:"" data-mce-style=""'color:"">2 only</span></p><p>(c) <span style=""'color:"" data-mce-style=""'color:"">1, 2 and 3</span></p><p>(d) <span style=""'color:"" data-mce-style=""'color:"">None of the above statements is correct</span></p></div>",c,Difficult
24,24,"<div><p>Which of the following is/are famous for Sun temples?</p><ol><li>Arasavalli</li><li>Amarakantak</li><li>Omkareshwar</li></ol><p>Select the correct answer using the code given below:</p><p>(a) 1 only</p><p>(b) <span style=""'color:"" data-mce-style=""'color:"">2 and 3 only</span></p><p>(c) 1 and 3 only</p><p>(d) 1, 2 and 3</p></div>",a,Difficult
25,25,"<div><p>Consider the following statements:</p><ol><li>In the election for Lok Sabha or State Assembly, the winning candidate must get at least 50 percent of the votes polled, to be declared elected.</li><li>According to the provisions laid down in the Constitution of India, in Lok Sabha, the Speaker’s post goes to the majority party and the Deputy Speaker’s to the Opposition.</li></ol><p>Which of the statements given above is/are correct?</p><p>(a) 1 only</p><p>(b) 2 only</p><p>(c) Both 1 and 2</p><p>(d) Neither 1 nor 2</p></div>",d,Medium
26,26,"<div><p>Which of the following has/have occurred in India after its liberalization of economic policies in 1991?</p><ol><li>Share of agriculture in GDP increased enormously.</li><li>Share of India’s exports in world trade increased.</li><li>FDI inflows increased.</li><li>India’s foreign exchange reserves increased enormously.</li></ol><p>Select the correct answer using the codes given below:</p><p>(a) 1 and 4 only</p><p>(b) 2, 3 and 4 only</p><p>(c) 2 and 3 only</p><p>(d) 1, 2, 3 and 4</p></div>",b,Easy
27,27,<div><p>What is the application of Somatic Cell Nuclear Transfer Technology?</p><p>(a) Production of biolarvicides</p><p>(b) Manufacture of biodegradable plastics</p><p>(c) Reproductive cloning of animals</p><p>(d) Production of organisms free of diseases</p></div>,c,Medium
28,28,"<div><p>Consider the following statements:</p><ol><li>National Payment Corporation of India (NPCI) helps in promoting the financial inclusion in the country.</li><li>NPCI has launched RuPay, a card payment scheme.</li></ol><p>Which of the statements given above is/are correct?</p><p>(a) 1 only</p><p>(b) 2 only</p><p>(c) Both 1 and 2</p><p>(d) Neither 1 nor 2</p></div>",c,Easy
29,29,<div><p>The term ‘M-STrIPES’ is sometimes seen in the news in the context of</p><p>(a) Captive breeding of Wild Fauna</p><p>(b) Maintenance of Tiger Reserves</p><p>(c) Indigenous Satellite Navigation System</p><p>(d) Security of National Highways</p></div>,b,Medium
30,30,"<div><p>What is/are the most likely advantages of implementing ‘Goods and Services Tax (GST)’?</p><ol><li>It will replace multiple taxes collected by multiple authorities and will thus create a single market in India.</li><li>It will drastically reduce the ‘Current Account Deficit’ of India and will enable it to increase its foreign exchange reserves.</li><li>It will enormously increase the growth and size of economy of India and will enable it to overtake China in the near future.</li></ol><p>Select the correct answer using the code given below:</p><p>(a) 1 only</p><p>(b) 2 and 3 only</p><p>(c) 1 and 3 only</p><p>(d) 1, 2 and 3</p></div>",a,Medium
31,31,<div><p>Broad-based Trade and Investment Agreement (BTIA)’ is sometimes seen in the news in the context of negotiations held between India and</p><p>(a) European Union</p><p>(b) Gulf Cooperation Council</p><p>(c) Organization for Economic Cooperation and Development</p><p>(d) Shanghai Cooperation Organization</p></div>,a,Easy
32,32,"<div><p>Consider the following statements:</p><ol><li>India has ratified to Trade Facilitation Agreement (TFA) of WTO.</li><li>TFA is a part of WTO’s Bali Ministerial Package of 2013.</li><li>TFA came into force in January 2016.</li></ol><p>Which of the statements given above is/are correct?</p><p>(a) 1 and 2 only</p><p>(b) 1 and 3 only</p><p>(c) 2 and 3 only</p><p>(d) 1, 2 and 3</p></div>",a,Medium
33,33,<div><p>What is the importance of developing Chabahar Port by India?</p><p>(a) India’s trade with African countries will enormously increase.</p><p>(b) India’s relations with oil-producing Arab countries will be strengthened.</p><p>(c) India will not depend on Pakistan for access to Afghanistan and Central Asia.</p><p>(d) Pakistan will facilitate and protect the installation of a gas pipeline between Iraq and India.</p></div>,c,Easy
34,34,"<div><p>In India, it is legally mandatory for which of the following to report on cyber security incidents?</p><ol><li>Service providers</li><li>Data centres</li><li>Body corporate</li></ol><p>Select the correct answer using the code given below:</p><p>(a) 1 only</p><p>(b) 1 and 2 only</p><p>(c) 3 only</p><p>(d) 1, 2 and 3</p></div>",d,Difficult
35,35,<div><p>Right to vote and to be elected in India is a</p><p>(a) Fundamental Right</p><p>(b) Natural Right</p><p>(c) Constitutional Right</p><p>(d) Legal Right</p></div>,c,Difficult
36,36,<div><p>What is the purpose of ‘evolved Laser Interferometer Space Antenna (eLISA)’ project?</p><p>(a) To detect neutrinos</p><p>(b) To detect gravitational waves</p><p>(c) To detect the effectiveness of missile defence system</p><p>(d) To study the effect of solar flares on our communication systems</p></div>,b,Easy
37,37,<div><p>What is the purpose of ‘Vidyanjali Yojana’?</p><ol><li>To enable the famous foreign educational institutions to open their campuses in India.</li><li>To increase the quality of education provided in government schools by taking help from the private sector and the community.</li><li>To encourage voluntary monetary contributions from private individuals and organizations so as to improve the infrastructure facilities for primary and secondary schools.</li></ol><p>Select the correct answer using the code given below:</p><p>(a) 2 only</p><p>(b) 3 only</p><p>(c) 1 and 2 only</p><p>(d) 2 and 3 only</p></div>,a,Medium
38,38,"<div><p>What is the aim of the programme ‘Unnat Bharat Abhiyan’?</p><p>(a) Achieving 100% literacy by promoting collaboration between voluntary organizations and government’s education system and local communities.</p><p>(b) Connecting institutions of higher education with local communities to address development challenges through appropriate technologies</p><p>(c) Strengthening India’s scientific research institutions in order to make India a scientific and technological power.</p><p>(d) Developing human capital by allocating special funds for health care and education of rural and urban poor, and organizing skill development programmes and vocational training for them.</p></div>",b,Easy
39,39,<div><p>Consider the following statements:</p><ol><li>The Election Commission of India is a five-member body.</li><li>Union Ministry of Home Affairs decides the election schedule for the conduct of both general elections and bye-elections.</li><li>Election Commission resolves the disputes relating to splits/mergers of recognized political parties.</li></ol><p>Which of the statements given above is/are correct?</p><p>(a) 1 and 2 only</p><p>(b) 2 only</p><p>(c) 2 and 3 only</p><p>(d) 3 only</p></div>,d,Easy
40,40,"<div><p>In India, if a species of tortoise is declared protected under Schedule I of the Wildlife (Protection) Act, 1972, what does it imply?</p><p>(a) It enjoys the same level of protection as the tiger.</p><p>(b) It no longer exists in the wild, a few individuals are under captive protection; and not it is impossible to prevent its extinction.</p><p>(c) It is endemic to a particular region of India.</p><p>(d) Both (b) and (c) stated above are correct in this context.</p></div>",a,Easy
41,41,"<div><p>In India, Judicial Review implies</p><p>(a) the power of the Judiciary to pronounce upon the constitutionality of laws and executive orders.</p><p>(b) the power of the Judiciary to question the wisdom of the laws enacted by the Legislatures.</p><p>(c) the power of the Judiciary to review all the legislative enactments before they are assented to by the President.</p><p>(d) the power of the Judiciary to review its own judgements given earlier in similar or different cases</p></div>",a,Medium
42,42,"<div><p>With reference to Indian freedom struggle, consider the following events:</p><ol><li>Mutiny in Royal Indian Navy</li><li>Quit Indian Movement launched</li><li>Second Round Table Conference</li></ol><p>What is the correct chronological sequence of the above events?</p><p>(a) 1-2-3</p><p>(b) 2-1-3</p><p>(c) 3-2-1</p><p>(d) 3-1-2</p></div>",c,Easy
43,43,<div><p>Consider the following statements:</p><ol><li>Tax revenue as a percent of GDP of India has steadily increased in the last decade.</li><li>Fiscal deficit as a percent of GDP of India has steadily increased in the last decade.</li></ol><p>Which of the statements given above is/are correct?<br></p><p>(a) 1 only</p><p>(b) 2 only</p><p>(c) Both 1 and 2</p><p>(d) Neither 1 nor 2</p></div>,d,Medium
44,44,<div><p>Recently there was a proposal to translocate some of the lions from their habitat in Gujarat to which one of the following sites?</p><p>(a) Corbett National Park</p><p>(b) Kuno Palpur Wildlife Sanctuary</p><p>(c) Mudumalai Wildlife Sanctuary</p><p>(d) Sariska National Park</p></div>,b,Medium
45,45,"<div><p>Which of the following are <strong><em>not</em></strong> necessarily the consequences of the proclamation of the President’s rule in a State?</p><ol><li>Dissolution of the State Legislative Assembly</li><li>Removal of the Council of Ministers in the State</li><li>Dissolution of the local bodies</li></ol><p>Select the correct answer using the code given below:</p><p>(a) 1 and 2 only</p><p>(b) 1 and 3 only</p><p>(c) 2 and 3 only</p><p>(d) 1, 2 and 3</p></div>",b,Medium
46,46,"<div><p>Which of the following are envisaged by the Right against Exploitation in the Constitution of India?</p><ol><li>Prohibition of traffic in human beings and forced labour</li><li>Abolition of untouchability</li><li>Protection of the interests of minorities</li><li>Prohibition of employment of children in factories and mines</li></ol><p>Select the correct answer using the code given below:</p><p>(a) 1, 2 and 4 only</p><p>(b) 2, 3 and 4 only</p><p>(c) 1 and 4 only</p><p>(d) 1, 2, 3 and 4</p></div>",c,Easy
47,47,<div><p>Which of the following is geographically closest to Great Nicobar?</p><p>(a) Sumatra</p><p>(b) Borneo</p><p>(c) Java</p><p>(d) Sri Lanka</p></div>,a,Medium
48,48,"<div><p>Out of the following statements, choose the one that brings out the principle underlying the Cabinet form of Government:</p><p>(a) An arrangement for minimizing the criticism against the Government whose responsibilities are complex and hard to carry out the satisfaction of all.</p><p>(b) A mechanism for speeding up the activities of the Government whose responsibilities are increasing day by day.</p><p>(c) A mechanism of parliamentary democracy for ensuring collective responsibility of the Government to the people</p><p>(d) A device for strengthening the hands of the head of the Government whose hold over the people is in a state of decline</p></div>",c,Medium
49,49,<div><p>Which one of the following is not a feature to Indian federalism?</p><p>(a) There is an independent judiciary in India.</p><p>(b) Powers have been clearly divided between the Centre and the States.</p><p>(c) The federating units have been given unequal representation in the Rajya Sabha.</p><p>(d) It is the result of an agreement among the federating units</p></div>,d,Easy
50,50,<div><p>The object of the Butler Committee of 1927 was to</p><p>(a) Define the jurisdiction of the Central and Provincial Governments.</p><p>(b) Define the powers of the Secretary of State for India.</p><p>(c) Impose censorship on national press.</p><p>(d) Improve the relationship between the Government of India and the Indian States.</p></div>,d,Medium
51,51,<div><p>The term ‘Domestic Content Requirement’ is sometimes seen in the news with reference to</p><p>(a) Developing solar power production in our country</p><p>(b) Granting licenses to foreign T.V. channels in our country</p><p>(c) Exporting our food products to other countries</p><p>(d) Permitting foreign educational institutions to set up their campuses in our country</p></div>,a,Easy
52,52,<div><p>Consider the following statements:</p><ol><li>The Nuclear Security Summits are periodically held under the aegis of the United Nations.</li><li>The International Panel on Fissile Materials is an organ of International Atomic Energy Agency.</li></ol><p>Which of the statements given above is/are correct?</p><p>(a) 1 only</p><p>(b) 2 only</p><p>(c) Both 1 and 2</p><p>(d) Neither 1 nor 2</p></div>,d,Difficult
53,53,"<div><p>Who among the following can join the National Pension System (NPS)?</p><p>(a) Resident Indian citizens only</p><p>(b) Persons of age from 21 to 55 only</p><p>(c) All State Government employees joining the services after the state of notification by the respective State Governments</p><p>(d) All Central Government employees including those of Armed Forces joining the services on or after 1st April, 2004</p></div>",c,Medium
54,54,"<div><p>With reference to river Teesta, consider the following statements:</p><ol><li>The source of river Teesta is the same as that of Brahmaputra but it flows through Sikkim.</li><li>River Rangeet originates in Sikkim and it is a tributary of river Teesta.</li><li>River Teesta flows into Bay of Bengal on the border of India and Bangladesh.</li></ol><p>Which of the statements given above is/are correct?</p><p>(a) 1 and 3 only</p><p>(b) 2 only</p><p>(c) 2 and 3 only</p><p>(d) 1, 2 and 3</p></div>",b,Medium
55,55,"<div><p>Consider the following statements:</p><ol><li>In tropical regions, Zika virus disease is transmitted by the same mosquito that transmits dengue.</li><li>Sexual transmission of Zika virus disease is possible.</li></ol><p>Which of the statements given above is/are correct?</p><p>(a) 1 only</p><p>(b) 2 only</p><p>(c) Both 1 and 2</p><p>(d) Neither 1 nor 2</p></div>",c,Medium
56,56,"<div><p>Consider the following statements:</p><ol><li>The Standard Mark of Bureau of Indian Standards (BIS) is mandatory for automotive tyres and tubes.</li><li>AGMARK is a quality Certification Mark issues by the Food and Agriculture Organisation (FAO).</li></ol><p>Which of the statements given above is/are correct?</p><p>(a) 1 only</p><p>(b) 2 only</p><p>(c) Both 1 and 2</p><p>(d) <span style=""'color:"" data-mce-style=""'color:"">Neither 1 nor 2</span></p><p><span style=""'color:"" data-mce-style=""'color:""></span><br></p></div>",a,Difficult
57,57,"<div><p>Which is/are the advantage/advantages of implementing the ‘e-National Agriculture Market’ scheme?</p><ol><li>It is a pan-India electronic trading portal for agricultural commodities.</li><li>It provides the farmers' access to nationwide market, with prices commensurate with the quality of their produce.</li></ol><p>Select the correct answer using the code given below.</p><p>(a) 1 only</p><p>(b) 2 only</p><p>(c) Both 1 and 2</p><p>(d) Neither 1 nor 2</p></div>",c,Easy
58,58,"<div><p>With reference to the ‘National Intellectual Property Rights Policy’, consider the following statements:</p><ol><li>It reiterates India’s commitment to the Doha Development Agenda and the TRIPS Agreement.</li><li>Department of Industrial Policy and Promotion is the nodal agency for regulating intellectual property rights in India.</li></ol><p>Which of the above statements is/are correct?</p><p>(a) 1 only</p><p>(b) 2 only</p><p>(c) Both 1 and 2</p><p>(d) Neither 1 nor 2</p></div>",c,Medium
59,59,"<div><p>According to the Wildlife (Protection) Act, 1972, which of the following animals cannot be hunted by any person except under some provisions provided by law?</p><ol><li>Gharial</li><li>Indian wild ass</li><li>Wild buffalo</li></ol><p>Select the correct answer using the code given below:</p><p>(a) 1 only</p><p>(b) 2 and 3 only</p><p>(c) 1 and 3 only</p><p>(d) 1, 2 and 3</p></div>",d,Medium
60,60,<div><p>Which of the following statements is/are true of the Fundamental Duties of an Indian citizen?</p><ol><li>A legislative process has been provided to enforce these duties.</li><li>They are correlative to legal duties.</li></ol><p>Select the correct answer using the code given below:</p><p>(a) 1 only</p><p>(b) 2 only</p><p>(c) Both 1 and 2</p><p>(d) Neither 1 nor 2</p></div>,d,Difficult
61,61,"<div><p>Consider the following pairs:</p><p>&nbsp; &nbsp; <em><strong>Leader&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Association/Organisation</strong></em></p><ol><li>Radhakanta Deb – First President of the British Indian Association</li><li>Gazulu Lakshminarasu Chetty – Founder of the Madras Mahajana Sabha</li><li>Surendranath Banerjee – Founder of the Indian Association</li></ol><p>Which of the above pairs is/are correctly matched?</p><p>(a) 1 only</p><p>(b) 1 and 3 only</p><p>(c) 2 and 3 only</p><p>(d) 1, 2 and 3</p></div>",b,Difficult
62,62,<div><p>Which one of the following objectives is not embodied in the Preamble to the Constitution of India?</p><p>(a) Liberty of thought</p><p>(b) Economic liberty</p><p>(c) Liberty of expression</p><p>(d) Liberty of belief</p></div>,b,Medium
63,63,"<div><p>With reference to the ‘Quality Council of India (QCI)’, consider the following statements:</p><ol><li>QCI was set up jointly by the Government of India and the Indian Industry.</li><li>Chairman of QCI is appointed by the Prime Minister on the recommendations of the industry to the Government.</li></ol><p>Which of the above statements is/are correct?</p><p>(a) 1 only</p><p>(b) 2 only</p><p>(c) Both 1 and 2</p><p>(d) Neither 1 nor 2</p></div>",c,Difficult
64,64,"<div><p>What is the purpose of setting up of Small Finance Banks (SFBs) in India?</p><ol><li>To supply credit to small business units</li><li>To supply credit to small and marginal farmers</li><li>To encourage young entrepreneurs to set up business particularly in rural areas.</li></ol><p>Select the correct answer using the code given below:</p><p>(a) 1 and 2 only</p><p>(b) 2 and 3 only</p><p>(c) 1 and 3 only</p><p>(d) 1, 2 and 3</p></div>",a,Medium
65,65,"<div><p>With reference to ‘Asia Pacific Ministerial Conference on Housing and Urban Development (APMCHUD)’, consider the following statements:</p><ol><li>The first APMCHUD was held in India in 2006 on the theme ‘Emerging Urban Forms – Policy Responses and Governance Structure’.</li><li>India hosts all the Annual Ministerial Conferences in partnership with ADB, APEC and ASEAN.</li></ol><p>Which of the statements given above is/are correct?</p><p>(a) 1 only</p><p>(b) 2 only</p><p>(c) Both 1 and 2</p><p>(d) Neither 1 nor 2</p></div>",d,Difficult
66,66,<div><p>Democracy’s superior virtue lies in the fact that it calls into activity</p><p>(a) the intelligence and character of ordinary men and women.</p><p>(b) the methods for strengthening executive leadership.</p><p>(c) a superior individual with dynamism and vision.</p><p>(d) a band on dedicated party workers.</p></div>,a,Difficult
67,67,<div><p>Which of the following is a most likely consequence of implementing the ‘Unified Payments Interface (UPI)?</p><p>(a) Mobile wallets with not be necessary for online payments.</p><p>(b) Digital currency will totally replace the physical currency in about two decades.</p><p>(c) FDI inflows will drastically increase.</p><p>(d) Direct transfer of subsidies to poor people will become very effective.</p></div>,a,Medium
68,68,"<div><p>The terms ‘Event Horizon’, ‘Singularity’, ‘String Theory’ and ‘Standard Model’ are sometimes seen in the news in the context of</p><p>(a) Observation and understanding of the Universe</p><p>(b) Study of the solar and the lunar eclipses</p><p>(c) Placing satellites in the orbit of the Earth</p><p>(d) Direct transfer of subsidies to poor people will become very effective.</p></div>",a,Easy
